Company Name,Website,Account Stage,Lists,# Employees,Industry,Account Owner,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Research target company 5822,Final Analysis of Qualification 3345,Assign as B2B or B2C 4355,Know if a company had executive changes 6825,Determine research guidelines 6759,Prerequisite: Research Target Company,Prerequisite: Determine Research Guidelines,Qualify Account,E-Commerce Platform,Column 1,Column 2
Old World Industries,http://www.oldworldind.com,Cold,"Concrete World 2025, Automotive Parts",,,jason.hendrix@jamersan.com,,,,,,,,,,,,,,,,,,,687e7eeffa275f0001542911,,,,,,,,,,,,,,,,,,,,,
Impact Poly Hammers,http://www.impactpolyhammers.com,Cold,"SEMA 2025, Concrete World 2025",,,jason.hendrix@jamersan.com,,,,,,,,,,,,,,,,,,,68af3cf7f4a44300017790c4,,,,,,,,,,,,,,,,,,,,,
Leatherman Tool Group,http://www.leatherman.com,Cold,"SEMA 2025, Concrete World 2025, Tooling & Fasteners",510,mechanical or industrial engineering,jason.hendrix@jamersan.com,http://www.linkedin.com/company/leatherman-tool-group,https://www.facebook.com/leatherman,https://twitter.com/leatherman,,,,,,,"manufacturing, patented design, online sales, outdoor performance, outdoor adventure gear, tool testing, high-quality manufacturing, product catalog, quality assurance, product development, hand tools, professional use, sustainable manufacturing, tool customization, tool repair, outdoor tools, emergency tools, folding knives, all other fabricated metal product manufacturing, customizable tools, outdoor equipment, outdoor activities, rescue scissors, b2c, tool sets, innovative design, premium knives, made in usa, military gear, high-quality tools, material technology, versatile tools, special edition tools, ergonomic design, replacement parts, tool accessories, trade tools, outdoor gear, precision engineering, durable tools, product innovation, global distribution, customer engagement, professional tools, everyday carry, e-commerce, warranty services, survival tools, rugged tools, brand heritage, accessories, tool repair services, consumer goods, limited runs, multi-tools, warranty extension, engineering, customer loyalty programs, d2c, fixed blades, product branding, tool maintenance, wholesale trade, product testing standards, product customization, product development process, customer loyalty, military grade tools, multi-tool accessories, product testing, tool safety features, global sales network, pocket tools, innovation, survival gear, warranty, customer experience, retail partnerships, engineering excellence, custom tools, product innovation labs, military applications, product innovation process, product design, craftsmanship, professional grade tools, knives, retail, local manufacturing, local assembly, camping tools, hiking accessories, heavy-duty tools, diy tools, gift ideas, sheaths, maintenance tips, 25-year warranty, made in america, corporate gifts, tool storage, pocket-size tools, full-size tools, electric tools, trades tools, all-in-one tools, tool camping kits, durable designs, multi-use tools, outdoor survival, fishing tools, hunting tools, lightweight tools, urban utilities, personalized gifts, tool performance, limited edition tools, sustainable materials, customer support, interactive design, outdoor lifestyle, accessibility features, tools for emergencies, b2b, distribution, consumer products & retail, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 503-253-7826,"Salesforce, Mailchimp Mandrill, Rackspace MailGun, Outlook, Salesforce Commerce Cloud, Atlassian Cloud, OneTrust, Appcues, Sophos, Vimeo, Linkedin Marketing Solutions, DoubleClick Conversion, YouTube, Yotpo, Google Analytics, Dotomi, Paypal, Mobile Friendly, Hotjar, Apple Pay, Demandware, New Relic, DoubleClick, Shopify, Adobe Media Optimizer, Facebook Login (Connect), reCAPTCHA, Visual Website Optimizer, Facebook Custom Audiences, Kaltura, Cedexis Radar, Bing Ads, Google Tag Manager, Facebook Widget, Google Dynamic Remarketing, Google AdWords Conversion, Remote",,,,,100000000,2,68af3cf7f4a443000177914e,3999,33299,"Leatherman Tool Group, Inc. is an American company based in Portland, Oregon, founded in 1983 by Timothy S. Leatherman and Steve Berliner. The company is known for pioneering high-quality, multi-purpose hand tools, starting with the Pocket Survival Tool (PST). Today, Leatherman offers nearly two dozen different multi-tools, which are available in over 70 countries.

The core products are durable multi-tools that combine various hand tools like pliers, knives, and screwdrivers into a single, portable device. These tools are designed for versatility and reliability, appealing to outdoor enthusiasts, tradespeople, military personnel, and everyday consumers. Leatherman emphasizes American manufacturing and quality craftsmanship, producing its tools in Portland and providing local jobs. With over 40 years of experience, Leatherman is recognized for its commitment to innovation and excellence, making it a trusted brand for those who value practical, all-in-one solutions for various tasks.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6928125e5186b4000135d5c5/picture,,,,,,,,,,,,,,,,
PowerPusher,http://www.powerpusher.com,Cold,"SEMA 2025, Concrete World 2025, Camping & Outdoors",16,mechanical or industrial engineering,jason.hendrix@jamersan.com,http://www.linkedin.com/company/powerpusher,https://facebook.com/PowerPusher,https://twitter.com/Power_Pusher,,,,,,,"industrial material handling, battery powered equipment, industrial tugs, carts, ergonomics, engineering, remote control, manufacturing, mechanical or industrial engineering",+1 800-800-9274,"Outlook, Sophos, Mobile Friendly",,,,,17000000,,68af3cf7f4a4430001779286,,,"Nu-Star's PowerPusher® line of battery-powered material handling tuggers and pushers is engineered to help manufacturers overcome the challenges of safely moving heavy loads and materials in a wide range of industrial environments.  Our compact, walk-behind electric tugs and pushers are designed to protect your employee's health and your business by providing a wide variety of benefits in the workplace including creating a safer work environment, lowering injury risks and costly medical claims, increasing productivity, reducing manpower and labor expenses, accelerating ROI, and moving tons of weight easily.",1959,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/691dec011ef41c000117f420/picture,Traction Capital (tractioncapital.com),,,,,,,,,,,,,,,
"AceForeman, Inc.",http://www.aceforeman.vi,Cold,Concrete World 2025,,,jason.hendrix@jamersan.com,,,,,,,,,,,,,,,,,,,68c1a2ea4d57020001f6eae7,,,,,,,,,,,,,,,,,,,,,
Advance Concrete Form Inc,http://www.advanceconcreteform.com,Cold,Concrete World 2025,7,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/advance-concrete-form-inc-,https://facebook.com/advanceconcreteform,,,,,,,,"form release, nails, 118 concrete forms, ties & accessories, supplies anchor bolts, 118quot concrete forms, form cages, b2b, high-density overlay plywood, form forming accessories, modular form system for small projects, manufacturing, accuracy and strength, corner ties, lightweight concrete forms, form system for complex foundations, corner forms, concrete forming equipment, form system parts, concrete formwork, residential and light commercial construction, form system for curved walls, poured concrete foundation and structure contractors, lightweight construction, form hardware components, building materials, distribution, form system customization, form system for offsets and pilasters, form accessories, form system versatility, form panels, form system durability, stackable forms, form system for high accuracy, stagger stacking forms, footing system, modular concrete forms, lightweight plywood panels, forming accessories, modular formwork, wall forming system, form system manufacturer, construction, form system kits, services, form hardware, speed and efficiency, form stacking, ties and hardware, form system for basements, construction forms, concrete wall forming system, stakeless footing system, mechanical or industrial engineering",+1 800-356-2202,"Outlook, Microsoft Office 365, Remote",,,,,21354000,,68c1a2ea4d57020001f6eaed,1742,23811,"Advance Concrete Form, Inc. manufacturers a 1-1/8"" plywood forming system for residential and light commercial construction.  The Advance Concrete Form System offers versatility to the contractor because of its workability  and strength.  We sell all of the components of the system and related supplies.",1963,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/674bfd8d0d635e000105a0c7/picture,,,,,,,,,,,,,,,,
Advanced Concrete Screeds,http://www.advancedconcretescreeds.com,Cold,Concrete World 2025,4,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/advanced-concrete-tools-co,,,,,,,,,"internal vibration, concrete chemicals, concrete placement & finishing, construction equipment, vibrating power screeds",+1 800-648-0542,"Blue Host, Amazon AWS, Vimeo, Mobile Friendly, WordPress.org, Google Maps, Leads by Web.com, Remote",,,,,,,68c1a2ea4d57020001f6eaee,,,"Advanced Concrete Tools is an origianl equipment manufacturer for concrete placement and finishing products.

Concrete contractors demand our Black Beauty and Silver Beauty wet screeds at rental stores and construction supply houses throughout the world.",2007,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e6c85675f5d00001214675/picture,,,,,,,,,,,,,,,,
American Concrete Pavement Association - ACPA,http://www.acpa.org,Cold,Concrete World 2025,28,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/american-concrete-pavement-association,https://www.facebook.com/pages/American-Concrete-Pavement-Association/152937364784177,https://twitter.com/PaveConcrete,,,,,,,"concrete pavement, pavement design, construction, pavement promotion, pavement repair, preservation, consultant referrals, federal agency partnerships, troubleshooting construction, education, professional development, web applications & training, training and education, pavement solutions, civil engineering, software tools, market applications, disaster resilience, competition between pavement types, concrete, member benefits, environmental services, cost-effective solutions, urban pavement solutions, port and industrial pavement, technical resources, transportation infrastructure, advocacy, asset management, industry networking, sustainable infrastructure, resiliency planning, pavement preservation techniques, airport pavement design, pavement overlays, software for pavement design, pavement durability, member engagement, engineering, industry events, legislative advocacy, environmental impact reduction, highway infrastructure, services, market development, concrete pavements, long-lasting pavements, industry awards program, training webinars, public funding efficiency, wikipave.org, industry awards, public-private partnerships, industry leadership, pavementdesigner.org, b2b, sustainability, environmental benefits, awards and recognition, industry collaboration, pavement maintenance strategies, pavement design software, highway, street, and bridge construction, project profiles, consulting, concrete overlay techniques, pavement lifecycle analysis, technical support, project preservation, industry research support, renewables & environment, highway, street, & bridge construction",+1 847-966-2272,"Outlook, Microsoft Office 365, Google Cloud Hosting, The Trade Desk, Woo Commerce, Facebook Widget, Mobile Friendly, Google Analytics, DoubleClick Floodlight, Facebook Social Plugins, Facebook Custom Audiences, Hubspot, Lotame, Facebook Login (Connect), Vimeo, Nginx, Google Font API, Google Tag Manager, Bootstrap Framework, Google Maps, Adzerk, WordPress.org, Circle, Remote",,,,,,,68c1a2ea4d57020001f6eafb,1611,23731,"The American Concrete Pavement Association (ACPA) is a prominent industry organization focused on enhancing the use and quality of concrete pavements. Established in 1964 and based in Irving, Texas, ACPA represents over 400 members, including contractors, material suppliers, and equipment manufacturers across the United States and Canada. The organization aims to provide leadership, technical expertise, and advocacy to promote sustainable concrete infrastructure.

ACPA offers a variety of services, including technical support and research to improve pavement design and maintenance, advocacy for the concrete pavement industry in policy discussions, and educational programs to enhance industry knowledge. The association also promotes the benefits of concrete pavements to public agencies and the general public, encouraging wider adoption in infrastructure projects such as highways and airports. Through its efforts, ACPA plays a vital role in advancing concrete pavement technology and ensuring the durability and sustainability of concrete infrastructure.",1963,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692ef41542729200019d4b10/picture,,,,,,,,,,,,,,,,
"Aramsco, Inc",http://www.aramsco.com,Cold,"Concrete World 2025, Tooling & Fasteners",1400,construction,jason.hendrix@jamersan.com,http://www.linkedin.com/company/aramsco,https://www.facebook.com/aramscocorp,https://twitter.com/Aramsco,,,,,,,"facility maintenance, countertop fabrication, professional cleaning, disaster restoration, hazardous material abatement, concrete surface preparation, jansan, traffic safety, specialty trade contractors, hvac iaq solutions, drain openers, surface prep tools, disinfectants and antimicrobials, equipment financing, safety gear, negative air machines, moisture meters, services, water extraction machines, janitorial supplies, industrial chemicals, concrete grinding tools, chemicals, abrasive blasting media, environmental cleanup, thermal imaging cameras, industrial supplies merchant wholesalers, training and education, cleaning chemicals, professional cleaning products, cleaning equipment, abatement solutions, equipment, disaster recovery supplies, vacuum systems, environmental services, mold prevention products, industrial surface coatings, hvac mold resistant coating, dehumidifiers, air scrubbers, respirators and masks, personal protective equipment, hvac iaq coatings, surface preparation products, equipment repair services, e-commerce, hvac insulation sealant, restoration equipment, government, carpet cleaning, pest control, hazardous material handling, odor control products, restoration, restoration supplies, chemical removers, mastic removers, pressure washers, poly sheeting, industrial safety equipment, safety signage, cleaning services, equipment rental, bulk chemical supplies, disaster support, b2b, hvac mold prevention, fire and smoke damage restoration, safety ppe, industrial tools, wholesale trade, construction, abatement chemicals, chemical supplies, cleaning, finance, education, distribution, renewables & environment, consumer internet, consumers, internet, information technology & services, financial services",+1 800-767-6933,"Sendgrid, Outlook, Microsoft Office 365, Amazon AWS, Pardot, GoDaddy Hosting, ADP Workforce Now, WP Engine, Magento, Media Temple SSL, Atlassian Cloud, UPS, Thinkific, Barracuda Networks, DoubleClick Conversion, AddThis, Bing Ads, Google Tag Manager, Google Dynamic Remarketing, Simpli.fi, YouTube, Hubspot, Cvent, WordPress.org, Facebook Login (Connect), DoubleClick, Workday Recruit, Typekit, Linkedin Widget, Mobile Friendly, Facebook Custom Audiences, Vimeo, Facebook Widget, Linkedin Login, Google Analytics, SynXis (Sabre Hospitality), reCAPTCHA, Google Font API, CallRail, SnapEngage, Bootstrap Framework, Google AdWords Conversion, Google Maps, Cedexis Radar, New Relic, Verisign Seal, BounceExchange, Wistia, Ruby On Rails, Google Maps (Non Paid Users), Adobe Media Optimizer, Google Analytics Ecommerce Tracking, Linkedin Marketing Solutions, Facebook Comments, Remote, Circle",,,,,100000000,,68c1a2ea4d57020001f6eb04,5091,42384,"Aramsco is a prominent specialty distributor based in Paulsboro, New Jersey, established in 1966. The company serves contractors and facility maintenance professionals across the U.S. and Canada, offering a wide range of products in sectors such as environmental safety, disaster response, restoration, and facility maintenance. With a portfolio of over 40,000 products, Aramsco supplies essential equipment, chemicals, tools, and more to support specialty contractors in their work.

In addition to product distribution, Aramsco enhances customer support through various value-added services, including training and education programs, equipment rental, repair, and financing. The company operates more than 80 branches and employs over 1,000 people, generating reported revenues of around $313 million. Aramsco also utilizes advanced digital commerce solutions to facilitate seamless ordering and compliance for its customers, ensuring they have reliable access to the products and services they need.",1960,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692966b41ee92c0001797988/picture,AEA Investors (aeainvestors.com),,,,,,,,,,,,,,,
"Ariat International, Inc.",http://www.ariat.com,Cold,Concrete World 2025,3700,apparel & fashion,jason.hendrix@jamersan.com,http://www.linkedin.com/company/ariat-international,https://www.facebook.com/AriatInternational,https://twitter.com/Ariat,,,,,,,"footwear & apparel, retail apparel & fashion, performance footwear brands worldwide, work boots, rider apparel, performance footwear performance, innovative materials, performance technology, performance footwear industry, retail, performance footwear manufacturing, performance footwear for demanding environments, performance accessories, outdoor apparel, performance footwear brands, athletic shoe technology, moisture management, performance footwear style, distribution, riding boots, performance footwear for riding, performance clothing, performance footwear for athletes, sustainable materials, footwear manufacturing, performance footwear trends, performance footwear fit, western footwear, performance footwear durability, ergonomic design, manufacturing, performance footwear market, performance footwear for outdoor activities, outdoor gear, performance footwear features, performance footwear innovation, performance footwear quality, riding gear, performance innovation, performance footwear design, performance footwear for work environments, performance footwear technology, equestrian boots, outdoor footwear, performance footwear, global distribution, performance apparel innovation, performance footwear comfort, performance footwear materials, cowboy boots, product testing, performance gear, riding boots technology, workwear, horse riding accessories, performance workwear, sustainable processes, outdoor lifestyle products, product innovation, western fashion collaborations, outdoor clothing, horse riding gear, craftsmanship, horse riding apparel, advanced materials, western heritage fashion, sustainable manufacturing, biomechanical research, western fashion, performance apparel, sustainable denim, performance boots, innovative footwear, performance apparel technology, b2c, e-commerce, consumer products & retail, apparel & fashion, mechanical or industrial engineering, material science, consumer internet, consumers, internet, information technology & services",+1 877-702-7428,"CloudFlare CDN, DNS Made Easy, Outlook, Microsoft Office 365, CloudFlare Hosting, Mimecast, Amazon AWS, Demandware Analytics, TubeMogul, accessiBe, Salesforce Commerce Cloud, Atlassian Cloud, UPS, React Redux, The Trade Desk, Kenshoo, RTB House, Linkedin Marketing Solutions, TriggerMail, 33Across, Bazaarvoice, Mobile Friendly, SiteScout, Google Places, AddShoppers, Demandware, Cedexis Radar, Bing Ads, FullStory, Facebook Custom Audiences, iPerceptions, Rubicon Project, Google Maps (Non Paid Users), BloomReach, AppNexus, Hotjar, Google Maps, Google Tag Manager, Cloudinary, greyscale - grey, Google Dynamic Remarketing, Yieldify, Apple Pay, Adobe Media Optimizer, TurnTo, Bootstrap Framework, Google Font API, Stripe, Linkshare, Pixlee, OpenX - Exchange, iGoDigital, Google AdWords Conversion, Facebook Login (Connect), Criteo, BounceExchange, Vimeo, Optimizely, Taboola, Google Analytics, Google AdSense, Amazon Associates, Salesforce, DoubleClick, LiveRamp, YouTube, AdRoll, Facebook Widget, Typekit, Segment.io, DoubleClick Conversion, reCAPTCHA, DoubleClick Floodlight, Paypal, TripleLift, Salesforce Live Agent, SuccessFactors (SAP), Remote, AI",,,,,,,68c1a2ea4d57020001f6eb07,3599,,"Ariat International is a prominent American brand that specializes in performance footwear, apparel, and accessories for equestrian sports, work industries, and outdoor activities. Founded in 1993 by Beth Cross and Pam Parker, the company has become the largest equestrian sports brand globally. Headquartered in Union City, California, Ariat integrates advanced athletic shoe technology into traditional riding boots, enhancing comfort and performance.

Ariat's product offerings include performance boots for English and Western horseback riding, work boots, outdoor footwear, and durable apparel designed for demanding environments. The brand also provides complementary accessories for equestrian and outdoor activities. Ariat serves a diverse customer base, including professional and amateur equestrian athletes, rodeo participants, ranch workers, and outdoor enthusiasts. The company is actively involved in the equestrian community, sponsoring major organizations like the Professional Bull Riders and the International Federation for Equestrian Sports.

Ariat is committed to innovation, quality, and corporate social responsibility, partnering with organizations to support injured veterans. The brand is dedicated to delivering high-quality products that blend athletic technology with traditional craftsmanship.",1993,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6926c8854929cd000187050c/picture,,,,,,,,,,,,,,,,
