Company Name,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Final Analysis of Qualification 3345,Prerequisite: Research Target Company,Assign as B2B or B2C 4355,Know if a company had executive changes 6825,Determine research guidelines 6759,Research target company 5822,E-Commerce Platform,Qualify Account,Prerequisite: Determine Research Guidelines,Column 1,Column 2
Palmetto State Armory,Palmetto State Armory,470,retail,http://www.palmettostatearmory.com,http://www.linkedin.com/company/palmetto-state-armory,,https://twitter.com/palmettoarmory,200 Business Park Blvd,Columbia,South Carolina,United States,29203-9499,"200 Business Park Blvd, Columbia, South Carolina, United States, 29203-9499","firearms retail, firearms manufacturing, retail sporting goods, hunting & fishing, fulfillment efficiency, scopes, scalability, netsuite, recreational firearms, technology solutions, firearms innovation, ak-47 rifles, consumer goods, vertical manufacturing, deposco wms, e-commerce growth, self-defense products, netsuite erp, american firearms market, online sales, fulfillment, product reliability, online retail, d2c, navigation, firearms supply chain, online platform, firearms technology, cost efficiency, warehouse management systems, accessories, gun industry, gun enthusiasts, inventory management, warranty, quality control, all other fabricated metal product manufacturing, gun accessories, retail stores, firearms parts, warehouse management system, erp, product accessibility, build kits, scalable operations, self-defense, retail operations, recreational shooting, lifetime warranty, firearms accessories, user experience, customer satisfaction, cost management, e-commerce, growth strategy, b2c, product quality, vertical integration, ar-15 rifles, growth, cost reduction, high-capacity magazines, order management, retail, e-commerce platform, freedom advocacy, american gun market, firearms customer base, advanced technology, manufacturing, consumer products & retail, consumers, consumer internet, internet, information technology & services, ux, mechanical or industrial engineering",+1 803-788-9095,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting",,,,,8308000,,6807dc6ec5f18c001d59ed5d,3691,33299,"Palmetto State Armory (PSA) is an American firearms company founded in 2008 by Jamin McCallum, based in Columbia, South Carolina. Initially starting as an online retailer selling magazines and ammunition, PSA quickly expanded into manufacturing firearms and firearm components. The company operates multiple retail locations across South Carolina, Georgia, and North Carolina.

PSA specializes in a variety of firearms, particularly AR-15 and AK-47 style rifles. Their product offerings include complete firearms, firearm build kits, high-capacity magazines, and various components and accessories. The company is committed to making firearms accessible to law-abiding Americans at competitive prices. PSA targets a diverse customer base of firearm enthusiasts and hobbyists, focusing on quality and affordability. As part of the JJE Capital family of brands, PSA also sells products from sister companies and other manufacturers through both online and physical stores.",2008,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69360f264d3c5700014df178/picture,,,,,,,,,,,,,,,,
Weatherby,Weatherby,99,mechanical or industrial engineering,http://www.weatherby.com,http://www.linkedin.com/company/weatherby-inc.,https://www.facebook.com/WBYfieldandflight/,https://twitter.com/weatherbyinc,Yellowtail Dr,Sheridan,Wyoming,United States,82801,"Yellowtail Dr, Sheridan, Wyoming, United States, 82801","manufacturing, rifles, shotguns, hunting, shooting, ammunition, carbon fiber barrel, precision engineering, titanium actions, firearms manufacturing, heirloom rifles, customizable rifles, lightweight rifles, d2c, custom rifle accessories, hand-engraved rifles, ultra-light mountain rifles, hunting & shooting equipment, custom rifles, b2b, bolt-action rifles, b2c, retail, cerakote finishes, long-range accuracy, precision machining, backcountry series, custom build, custom trigger upgrades, peak 44 carbon fiber stocks, backcountry rifles, e-commerce, recoil reduction, precision firearms, heirloom quality, gun customization, spartan precisions adapters, carbon fiber barrels, high-velocity cartridges, services, range certification, rifle platform, custom stock patterns, carbon fiber stocks, sporting goods, action blueprinting, scope mounting, firearms, all other fabricated metal product manufacturing, long-range rifles, bolt-action, weatherby mark v, advanced materials, cerakote, titanium, long-range, precision, heirloom, backcountry, handcrafted, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, material science",+1 307-675-7800,"Gmail, Outlook, Google Apps, Microsoft Office 365, accessiBe, Quantcast, Google Maps, Google Places, Google Maps (Non Paid Users), Mobile Friendly, YouTube, reCAPTCHA, Google Analytics, Hubspot, Gravity Forms, Google Font API, Woo Commerce, WordPress.org, Google Tag Manager, Remote",,,,,1498000,,683f4ddba2168b001d5d9561,3699,33299,"Weatherby, Inc. is an American firearms manufacturer established in 1945 by Roy Weatherby. The company is headquartered in Sheridan, Wyoming, after relocating from Paso Robles, California, in 2018. Weatherby is recognized for its development of high-powered magnum cartridges and precision rifles, including the renowned .257, .270, .300, .340, and .460 Weatherby Magnum cartridges, which are designed for effective and humane hunting.

The company’s flagship product is the Mark V bolt action rifle, known for its strength and precision, featuring nine locking lugs and a short bolt lift to handle high pressures. Weatherby also offers the Vanguard series, which provides a more affordable option based on the Howa 1500 bolt action. Their product line includes proprietary ammunition tailored for big game hunting, as well as custom and production firearms. Weatherby serves a global market of hunters and shooting sports enthusiasts, emphasizing quality craftsmanship and ballistic innovation.",1945,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/693629252fa9ab0001b3f0c6/picture,,,,,,,,,,,,,,,,
Gun Storage Solutions,Gun Storage Solutions,6,sporting goods,http://www.storemoreguns.com,http://www.linkedin.com/company/gun-storage-solutions,https://facebook.com/gunstoragesolutions,https://twitter.com/storemoreguns,18317 N 2600 East Rd,Cooksville,Illinois,United States,61730,"18317 N 2600 East Rd, Cooksville, Illinois, United States, 61730","sporting goods manufacturing, gun safe organization, gun safe organization system, gun organization, manufacturing, gun safe storage enhancement, gun safe accessories for rifles, gun safe capacity increase, b2b, gun safe rifle holder, gun safe space saver, gun storage solutions, gun safe retrofit, gun safe accessories usa-made, space maximization, gun safe space efficiency, wholesale trade, gun safe accessories, gun safe capacity, retail, gun safe storage, e-commerce, patented hook and loop system, all other fabricated metal product manufacturing, rifle rods, b2c, gun rack system, firearms, gun storage, made in usa, patented system, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 855-647-8673,"Gmail, Google Apps, UPS, React Redux, React, DoubleClick, Google Dynamic Remarketing, Facebook Widget, Mobile Friendly, reCAPTCHA, DoubleClick Conversion, Bing Ads, YouTube, Google Font API, Google Analytics, Facebook Login (Connect), Google Tag Manager, Visual Website Optimizer, Facebook Custom Audiences, Remote, Reviews, AI",,,,,9000,,687e7e0e83c4370001c2bcb0,3999,33299,"Gun Storage Solutions creates products that will efficiently store and display firearms and accessories.  With versatility as a priority, these products will retrofit any space - gun safes, display cabinets or vault rooms.  Utilizing wasted space the products from Gun Storage Solutions make even the smallest space store more guns.  Imagine your gun storage space with more guns, easier accessibility and functionality.  Gun Storage Solutions wants to give you the best storage space for your guns that is practical for your life and collection.  We are a family company with products designed, manufactured and packaged in the USA.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e8317969f39a0001c4dbf2/picture,,,,,,,,,,,,,,,,
SENTRY Products Group,SENTRY Products Group,8,sporting goods,http://www.sentrytactical.com,http://www.linkedin.com/company/jeffrosestudios,https://www.facebook.com/sentrytacticalusa,https://twitter.com/Hexmags,477 Viking Drive,Virginia Beach,Virginia,United States,23452,"477 Viking Drive, Virginia Beach, Virginia, United States, 23452","marketing, advertising, graphic design, packaging, photography, video, fine art, branding, digital media, content development, social media, sporting goods manufacturing, bipod protection, pouches, private label tactical gear, firearm covers, oem, lifetime guarantee, holographic covers, tactical gear, retail, neoprene scope cover, recoil pad covers, water-resistant gun covers, gun cases, holographic sight covers, b2b, bipod covers, distribution, tactical belts, custom firearm covers, services, all other miscellaneous manufacturing, tactical pouch systems, optic protection, neoprene gun sleeves, manufacturing, night vision device covers, consumer goods, military optics covers, private label, night vision covers, scope covers, e-commerce, molle mounts, consumer products & retail, shipping, logistics & supply chain, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",+1 757-689-6064,"Blue Host, Outlook, Microsoft Office 365, Amazon AWS, Facebook Widget, Google Font API, Facebook Login (Connect), YouTube, Mobile Friendly, SharpSpring, Google Tag Manager, reCAPTCHA, Facebook Custom Audiences, IoT",,,,,10438000,,687e7e0e83c4370001c2bcba,3999,33999,"Strategic and hands-on Creative Director with over 15+ years of experience shaping the visual identity of multi-million-dollar brands in the tactical, outdoor, and consumer lifestyle markets. Expert in brand development, graphic design, video production, and integrated marketing strategies. Known for leading high-performing creative teams and delivering compelling visual narratives that drive engagement, increase brand equity, and generate revenue. Proven ability to transform creative visions into marketable realities while fostering innovation, collaboration, and excellence.",2015,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/68e61abf4a028300019bdd85/picture,,,,,,,,,,,,,,,,
Timney Triggers,Timney Triggers,20,mechanical or industrial engineering,http://www.timneytriggers.com,http://www.linkedin.com/company/timneytriggers,https://www.facebook.com/timneytriggers,https://twitter.com/TimneyTriggers,2020 W Quail Ave,Phoenix,Arizona,United States,85027,"2020 W Quail Ave, Phoenix, Arizona, United States, 85027","manufacturing, gun industry standards, trigger mechanism, competition trigger, trigger calibration, firearm accessories, trigger for specific firearm models, trigger innovation, trigger durability, trigger replacement, trigger performance at competitions, gun safety, trigger testing and calibration, trigger parts, hunting gear, made in usa, trigger performance, trigger standards, b2b, gun manufacturing, family owned business, handgun trigger, trigger testing, precision machining, trigger safety lock, hunting trigger, firearm parts supplier, precision engineering, all other fabricated metal product manufacturing, competition shooting gear, competition shooting triggers, trigger system, firearm performance, gun maintenance, trigger warranty, trigger testing in action, military and law enforcement triggers, hunting and shooting sports, trigger design, firearm upgrades, trigger upgrade, trigger reliability, iso 9001:2015 certification, trigger for hunting and sport shooting, firearms manufacturing, trigger manufacturing process, high-quality triggers, hand-assembled triggers, trigger manufacturing, sporting goods, gun shooting accuracy, trigger customization, gun enthusiast, gun customization, custom trigger design, trigger engineering, trigger craftsmanship, d2c, gun accessories, trigger adjustment, accuracy enhancement, firearm triggers, rifle trigger, trigger quality, trigger safety features, firearm safety, trigger technology, firearm technology, gun parts, specialized trigger solutions, precision triggers, shotgun trigger, trigger precision, firearm innovation, long-range shooting triggers, trigger assembly parts, trigger assembly, lifetime guarantee, b2c, firearm industry, trigger safety, e-commerce, drop-in trigger, firearm precision, firearms, shooting sports, precision manufacturing, family owned, iso 9001:2015, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 866-484-6639,"Outlook, MailChimp SPF, Microsoft Office 365, Amazon AWS, BigCommerce, Facebook Custom Audiences, YouTube, Lucky Orange, Mobile Friendly, Google Font API, Adobe Media Optimizer, Cedexis Radar, Google Dynamic Remarketing, reCAPTCHA, Vimeo, DoubleClick, Facebook Widget, DoubleClick Conversion, Google Analytics, Facebook Login (Connect), Google Tag Manager, Klaviyo, MailChimp, Google Plus, Remote, Phoenix",,,,,58856000,,687e7e0e83c4370001c2bcbf,3399,33299,"Timney Triggers is celebrating being in business for over 75 years and has become a household name in the hunting and outdoor shooting industries. We are able to build the world's finest triggers for the greatest and most loyal customers because of our world's finest staff. Timney Triggers is housed in a sparkling 25,000 sq. ft. facility full of the latest state-of-the-art technology and machines running around the clock based out of Phoenix, Arizona.

At Timney we strive to create a culture where people both inside and outside the organization are continually astonished by our mastery of service. Constantly exhibit superiority in making crazy-good products that blow people's minds. Develop an understanding in ourselves and others in a way that ignites our lives both personally and professionally.",1946,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6935f4e5b08ccf000128ebbc/picture,,,,,,,,,,,,,,,,
Glacier Glove,Glacier Glove,5,sporting goods,http://www.glacieroutdoor.com,http://www.linkedin.com/company/glacier-outdoor,http://facebook.com/glacieroutdoor,,7525 Colbert Dr,Reno,Nevada,United States,89511,"7525 Colbert Dr, Reno, Nevada, United States, 89511","outdoor, sporting goods, gloves, fishing gloves, hunting gloves, sun gloves, sun protective apparel, private label, retail, big game hunting gloves, uv upf 50+, marine gloves, sun protection gear, durable materials, b2c, sun protection, sun hat, gloves for active outdoor, waterproof gloves, water-resistant, tactical gloves, uv resistant fabric, neoprene gloves, windproof fleece, outdoor gear, waterfowl hunting gloves, e-commerce, outdoor apparel, dexterity, upf 50+, performance fabrics, sun safety, uv protection, sun protective headwear, outdoor adventure gear, d2c, outdoor sports gear, outdoor recreation, uv reducing gloves, saltwater fishing gloves, advanced fabrics, performance gloves, all other miscellaneous manufacturing, apparel & accessories, durability, outdoor accessories, windproof, outdoor_sports, fishing, hunting, sun_protection, performance_gear, uv_protection, waterproof, durable_materials, consumer internet, consumers, internet, information technology & services",+1 775-825-8225,"Outlook, Microsoft Office 365, DoubleClick, YouTube, Google Maps, Mobile Friendly, Google AdWords Conversion, Yotpo, DoubleClick Conversion, Google Dynamic Remarketing, Google Tag Manager, Facebook Custom Audiences, Shopify, Facebook Login (Connect), Klaviyo, Facebook Widget, Hotjar, Render, Refersion",,,,,17332000,,688a84a24e740b0001b2824b,5099,33999,"Glacier Outdoor partners with hunting and fishing retailers to deliver high-quality, performance-driven gear. We offer wholesale and private label products including hunting gloves, fishing gloves, sun gloves, buffs, headwear, and neoprene accessories. Known for innovative designs and reliable supply, we help retailers grow with products that meet the demands of today's outdoor enthusiast.",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/62f4ce05ec70f5000135aea6/picture,"Elvisridge Capital, LLC (elvisridgecapital.com)",,,,,,,,,,,,,,,
"Pan Taiwan Enterprise Co., Ltd.",Pan Taiwan Enterprise,27,mining & metals,http://www.pantaiwan.com.tw,http://www.linkedin.com/company/pan-taiwan-enterprise-co-ltd,,,,,,,,,"plastic injection molding process, stamping process, investment casting process, machining process, rubber molding process, assembly process, forging process, die casting process, mining, automotive parts, quality control, safety equipment, stamping, services, outdoor products, plastic injection molding, customized engineering components, iso 9001, coating, engraving, heat treating, and allied activities, supply chain management, consulting, reverse engineering, bicycle parts, oem manufacturing, bicycle components, oem/odm solutions, sustainable development, sporting goods, cnc machining, custom parts, contract manufacturing, manufacturing services, tactical bags, industrial manufacturing, manufacturing, product assembly, medical equipment, b2b, metal injection molding, die casting, outdoor equipment, product development, custom manufacturing, bsci standards, healthcare, distribution, logistics & supply chain, sustainability, environmental services, renewables & environment, machinery, mechanical or industrial engineering, health care, health, wellness & fitness, hospital & health care",+886 2 8226 5199,"Route 53, Microsoft Office 365, Google Cloud Hosting, DoubleClick Conversion, Google Remarketing, Google Analytics, Bootstrap Framework, Apache, Google Tag Manager, Mobile Friendly, Google AdSense, Google Dynamic Remarketing, Google AdWords Conversion, Piwik, DoubleClick",,,,,,,68af3cf7f4a4430001779254,3599,33281,"Established in 1977, We started as a trading company involved with industrial Safety Equipments and Auto Parts.   Pan Taiwan begain to devote to OEM components field due to the strong demand from our clients later on.  

  Our OEM business grows rapidly through the years.  With the resources and technology advantages, we are able to provide customers with the product total solution in many different industries.   Our superior team will get sufficient understanding of your needs, analyze and integrate the resources, develop the product in your design and manufacture for you.   We are the partner that you can trust.  We know what you need, and we make what you want.",1977,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6936086272082900011d7d34/picture,,,,,,,,,,,,,,,,
REM Surface Engineering,REM Surface Engineering,51,mechanical or industrial engineering,http://www.remchem.com,http://www.linkedin.com/company/rem-surface-engineering,https://www.facebook.com/REMSurfaceEngineering,https://twitter.com/remsurfaceeng,325 W Queen St,Southington,Connecticut,United States,6489,"325 W Queen St, Southington, Connecticut, United States, 06489","surface engineering, metal finishing, vibratory finishing, reducing friction, micropitting, superfinishing, surface finish, scuffing, metal additive manufacturing, postprocessing, contact fatigue, gears, bearings, airfoils, aerospace, trucking, automotive, gear refurbishment, efficiency, surface roughness, texture, process aids, additive finishing, wind turbine, geometric surface uniformity, low surface roughness ra<0.1 μm, isotropic superfinishing, micropitting reduction, component geometries preservation, automotive parts, precision surface finishing, noise reduction technologies, stress corrosion cracking resistance, medical, process automation, process optimization, isf process, white layer removal, surface finishing solutions, additive manufacturing finishing, aerospace component finishing, machining, superfinishing technology, large batch processing, gas & steam turbine, cost-effective metal finishing, automotive surface treatment, chemical mechanical polishing, extreme isf for metal am, medical device finishing, services, high volume metal finishing, consulting, rapid isf for high volume production, b2b, all other miscellaneous manufacturing, additive manufacturing, repair and refurbishment services, defense, corrosion resistance enhancement, additive manufacturing post-processing, healthcare, wind_turbine, metal_injection_molding, additive_manufacturing, gas_steam_turbine, power_generation, precision_engineering, health care, health, wellness & fitness, hospital & health care",+1 860-621-6755,"Google Cloud Hosting, WordPress.org, Vimeo, Google Tag Manager, reCAPTCHA, Gravity Forms, Nginx, Bootstrap Framework, Mobile Friendly, Domo, Sisense, Remote",,,,,51000000,,68b715220878f200013ce308,3559,33999,"REM Surface Engineering is a leader in surface engineering, focusing on advanced metal finishing technologies. Founded in 1965 by Bob and Florence Michaud, the company initially specialized in metal cleaning and plating products for various industries, including silverware and aircraft engines. Over the years, REM developed the patented Isotropic Superfinish Process (ISF®), which utilizes non-abrasive automated mass finishing to achieve superior surface finishes.

The core offerings of REM include the ISF® technology and its advanced variant, the Extreme ISF® Process. These processes enhance surface roughness, remove near-surface defects, and improve the performance of metal components. They are particularly effective for post-processing in metal additive manufacturing. REM serves a diverse clientele, including high-technology and defense sectors, and collaborates with organizations like NASA and the Department of Defense. The company provides its finishing technologies as outsourced services and as installations for in-house use, catering to both high-volume production and specialty projects.",1965,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6928365771417f0001febda3/picture,,,,,,,,,,,,,,,,
Browning Safes / ProSteel,Browning Safes,0,mechanical or industrial engineering,http://www.browningsafes.com,http://www.linkedin.com/company/browning-safes,https://www.facebook.com/BrowningSafes/,https://twitter.com/browningsafes,,,,,,,"manufacturing, mechanical or industrial engineering",,"Outlook, Microsoft Office 365, Yotpo, Mobile Friendly, Google Tag Manager, Linkedin Marketing Solutions, Facebook Login (Connect), Shopify, Google Dynamic Remarketing, Klaviyo, BugHerd, Facebook Widget, Bing Ads, DoubleClick Conversion, DoubleClick, Facebook Custom Audiences",,,,,,,68c19ef053185b0001bac04f,,,,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/682ee31a2b1f6800012ccbc4/picture,,,,,,,,,,,,,,,,
10-24 Products,10-24 Products,,,http://www.10-24products.com,,,,,,,,,,,,,,,,,,,68c19ef053185b0001bac050,,,,,,,,,,,,,,,,,,,,,
